iter	Logloss
0	0.6883212086
1	0.6830630533
2	0.6774877106
3	0.6728071678
4	0.6675464601
5	0.6625086161
6	0.6587610591
7	0.6554339616
8	0.6506035674
9	0.6475834361
10	0.6423475029
11	0.6388919006
12	0.6341147795
13	0.629217682
14	0.6252875643
15	0.6231244792
16	0.6187857988
17	0.6146725653
18	0.6114413018
19	0.6083904495
20	0.6061212731
21	0.6025374471
22	0.5986678947
23	0.5953780984
24	0.5927040348
25	0.5899578984
26	0.5869698781
27	0.5846206319
28	0.5805484157
29	0.5778556372
30	0.5750439664
31	0.5732387673
32	0.5715283761
33	0.5690318473
34	0.5666399363
35	0.5634807334
36	0.5609096257
37	0.5589403321
38	0.5569508929
39	0.5547199444
40	0.5521822759
41	0.5500469705
42	0.5473908437
43	0.5454752656
44	0.5447517017
45	0.5430866705
46	0.5414731041
47	0.5389485813
48	0.5372301831
49	0.5353583927
50	0.5332963278
51	0.5317607964
52	0.5296116482
53	0.5279777314
54	0.5267365199
55	0.5250450494
56	0.5230017067
57	0.52161546
58	0.5202061969
59	0.5188508328
60	0.51725016
61	0.5160421512
62	0.5142534959
63	0.5126640096
64	0.5109288333
65	0.5092942606
66	0.5078350058
67	0.5070194158
68	0.5057544192
69	0.5040855537
70	0.5029075332
71	0.501580777
72	0.5005091304
73	0.499398035
74	0.4982446616
75	0.4965388778
76	0.4962472008
77	0.4951101671
78	0.4938466289
79	0.4928589144
80	0.4919090238
81	0.4910450143
82	0.4896164679
83	0.4885524514
84	0.4874044459
85	0.486146955
86	0.4848087343
87	0.4839163119
88	0.4827404643
89	0.4820966996
90	0.4812076444
91	0.4798709564
92	0.4788118891
93	0.4781871272
94	0.4768344911
95	0.4763817982
96	0.4752505307
97	0.4744057362
98	0.4739206498
99	0.4725627118
100	0.4721949621
101	0.4710901551
102	0.4708317284
103	0.468956191
104	0.4679888468
105	0.4670949239
106	0.4665389862
107	0.465574496
108	0.4649070237
109	0.4639438208
110	0.4631599494
111	0.4623263785
112	0.4613886815
113	0.4607572574
114	0.4599126523
115	0.4593673814
116	0.4588479908
117	0.458110322
118	0.4569844599
119	0.4558122188
120	0.4551981422
121	0.4545751963
122	0.4538726654
123	0.4530356783
124	0.452560462
125	0.4514690152
126	0.4510517945
127	0.4503572037
128	0.4493545557
129	0.4488573658
130	0.4483164301
131	0.4470796612
132	0.4467246127
133	0.4464284734
134	0.4457664246
135	0.4450046618
136	0.4440402148
137	0.4436054156
138	0.4430395079
139	0.4421547945
140	0.4408985449
141	0.4398362664
142	0.4391796066
143	0.4384036182
144	0.4377317088
145	0.4372379856
146	0.4364199557
147	0.4362020875
148	0.4356902055
149	0.4356204132
150	0.4348771445
151	0.4346389545
152	0.4336097291
153	0.4330202745
154	0.4322479329
155	0.4317606129
156	0.4312489144
157	0.4300004609
158	0.4296264641
159	0.4290809263
160	0.4286627453
161	0.4282846194
162	0.4277344895
163	0.4275127616
164	0.4273793553
165	0.426937948
166	0.4264382344
167	0.4257263005
168	0.4252988032
169	0.4248515839
170	0.4243696978
171	0.4238309508
172	0.423351169
173	0.4225973402
174	0.4218870504
175	0.4210423798
176	0.4200014019
177	0.4196940686
178	0.4191159923
179	0.4187940518
180	0.4183155507
181	0.4182391535
182	0.4175267929
183	0.4167449158
184	0.4158446877
185	0.4153684037
186	0.4150991346
187	0.4145315275
188	0.4141351271
189	0.413720278
190	0.4132128239
191	0.4124584013
192	0.4119929529
193	0.4115690649
194	0.4111308312
195	0.4106884525
196	0.4100536907
197	0.4092745531
198	0.408591519
199	0.4080642384
200	0.407385699
201	0.4068765161
202	0.4057448133
203	0.4052015196
204	0.404818333
205	0.404388034
206	0.404074172
207	0.4036100204
208	0.4025517598
209	0.401883349
210	0.4017174564
211	0.4014830613
212	0.4007902243
213	0.4000256978
214	0.3993225312
215	0.3989376171
216	0.3984437377
217	0.3983162684
218	0.3979866824
219	0.3974494167
220	0.3966616558
221	0.3960772825
222	0.3957013996
223	0.3952276088
224	0.3945616644
225	0.3943016691
226	0.3940346854
227	0.3937479637
228	0.3932141276
229	0.3926489795
230	0.3922521881
231	0.3917062878
232	0.3911924418
233	0.3902742255
234	0.3897887136
235	0.3895040204
236	0.3889691027
237	0.3886483166
238	0.3882706551
239	0.3878076878
240	0.3869904464
241	0.386690488
242	0.3866207999
243	0.3863082196
244	0.3861593605
245	0.3857312673
246	0.3851935772
247	0.3846862942
248	0.3844556289
249	0.3837204808
250	0.3831400168
251	0.3825340034
252	0.382273823
253	0.3815487441
254	0.3811075039
255	0.3807724172
256	0.3802407813
257	0.3798911764
258	0.3792649091
259	0.3785715849
260	0.3779012274
261	0.3775131394
262	0.3769876573
263	0.3768436974
264	0.3765198712
265	0.3759031603
266	0.3757338681
267	0.3753290323
268	0.3749307016
269	0.3745725103
