iter	Passed	Remaining
401	17745	26397
402	17782	26342
403	17828	26300
404	17872	26257
405	17915	26211
406	17959	26167
407	17997	26114
408	18045	26075
409	18091	26033
410	18135	25990
411	18180	25947
412	18227	25906
413	18275	25867
414	18324	25830
415	18373	25793
416	18416	25747
417	18461	25704
418	18496	25647
419	18544	25608
420	18589	25565
421	18633	25521
422	18679	25479
423	18723	25435
424	18770	25394
425	18815	25351
426	18851	25296
427	18886	25240
428	18930	25196
429	18953	25125
430	19001	25084
431	19044	25039
432	19089	24997
433	19112	24926
434	19156	24881
435	19201	24838
436	19248	24798
437	19293	24754
438	19330	24701
439	19374	24658
440	19420	24616
441	19457	24564
442	19501	24519
443	19544	24474
444	19579	24419
445	19626	24379
446	19663	24326
447	19686	24256
448	19731	24214
449	19776	24170
450	19793	24094
451	19838	24051
452	19884	24011
453	19908	23942
454	19952	23899
455	19999	23858
456	20044	23816
457	20090	23775
458	20137	23735
459	20190	23701
460	20241	23665
461	20303	23643
462	20354	23608
463	20404	23570
464	20450	23529
465	20498	23490
466	20543	23447
467	20588	23404
468	20613	23338
469	20657	23295
470	20702	23252
471	20751	23213
472	20785	23158
473	20828	23113
474	20865	23061
475	20911	23019
476	20954	22974
477	20998	22931
478	21042	22887
479	21077	22834
480	21121	22790
481	21164	22745
482	21207	22700
483	21258	22664
484	21302	22619
485	21346	22576
486	21389	22531
487	21432	22486
488	21479	22445
489	21526	22405
490	21572	22363
491	21618	22321
492	21662	22277
493	21707	22234
494	21750	22190
495	21794	22146
496	21838	22101
497	21881	22057
498	21925	22013
499	21969	21969
500	22012	21924
501	22048	21873
502	22092	21828
503	22135	21783
504	22179	21739
505	22223	21696
506	22267	21652
507	22312	21610
508	22335	21545
509	22379	21501
510	22411	21446
511	22465	21412
512	22525	21383
513	22572	21342
514	22639	21320
515	22694	21286
516	22756	21259
517	22804	21219
518	22854	21181
519	22904	21142
520	22958	21107
521	23003	21064
522	23058	21030
523	23109	20992
524	23161	20955
525	23221	20925
526	23275	20890
527	23325	20851
528	23345	20786
529	23392	20744
530	23438	20701
531	23484	20659
532	23528	20614
533	23571	20569
534	23616	20526
535	23665	20486
536	23710	20443
537	23728	20376
538	23772	20332
539	23817	20288
540	23846	20231
541	23892	20189
542	23916	20128
543	23960	20084
544	24004	20040
545	24049	19997
546	24093	19953
547	24138	19910
548	24182	19865
549	24225	19821
550	24272	19779
551	24316	19735
552	24361	19691
553	24408	19650
554	24468	19619
555	24529	19588
556	24573	19544
557	24618	19500
558	24667	19460
559	24714	19418
560	24760	19375
561	24805	19332
562	24851	19290
563	24896	19246
564	24940	19202
565	24969	19146
566	25015	19103
567	25061	19060
568	25120	19028
569	25174	18991
570	25225	18952
571	25279	18915
572	25332	18878
573	25394	18846
574	25452	18813
575	25506	18775
576	25554	18733
577	25604	18693
578	25655	18654
579	25703	18612
580	25753	18572
581	25799	18529
582	25847	18488
583	25898	18448
584	25948	18407
585	25995	18365
586	26043	18323
587	26095	18284
588	26142	18241
589	26187	18198
590	26238	18158
591	26285	18115
592	26331	18072
593	26378	18029
594	26425	17986
595	26460	17936
596	26504	17891
597	26549	17847
598	26594	17803
599	26640	17760
600	26686	17716
601	26733	17674
602	26778	17630
603	26821	17585
604	26865	17540
605	26908	17495
606	26955	17452
607	27000	17408
608	27044	17363
609	27088	17319
610	27134	17275
611	27178	17230
612	27222	17186
613	27270	17143
614	27314	17099
615	27360	17055
616	27405	17011
617	27451	16968
618	27495	16923
619	27539	16878
620	27582	16834
621	27626	16788
622	27671	16744
623	27715	16700
624	27759	16655
625	27803	16610
626	27847	16566
627	27890	16521
628	27934	16476
629	27983	16434
630	28030	16391
631	28073	16346
632	28118	16302
633	28162	16257
634	28206	16213
635	28251	16168
636	28295	16124
637	28339	16080
638	28383	16035
639	28426	15990
640	28470	15945
641	28514	15900
642	28559	15856
643	28603	15811
644	28648	15767
645	28691	15722
646	28737	15678
647	28782	15635
648	28811	15582
649	28855	15537
650	28899	15493
651	28944	15448
652	28988	15404
653	29031	15359
654	29077	15315
655	29122	15271
656	29166	15226
657	29211	15182
658	29257	15139
659	29305	15096
660	29324	15039
661	29370	14995
662	29416	14952
